,random_array,algorithm,time_taken
0,0,qs1,0.002042055130004883
1,0,qs2,0.002248048782348633
2,0,qs3,0.0023779869079589844
3,0,qs4,0.0023238658905029297
4,0,qs5,0.002146005630493164
5,0,merge1,0.002195119857788086
6,0,partition_sort,0.001130819320678711
7,1,qs1,0.0019190311431884766
8,1,qs2,0.002192974090576172
9,1,qs3,0.002283811569213867
10,1,qs4,0.002190113067626953
11,1,qs5,0.002109050750732422
12,1,merge1,0.0022089481353759766
13,1,partition_sort,0.0010218620300292969
14,2,qs1,0.0019299983978271484
15,2,qs2,0.0022649765014648438
16,2,qs3,0.002276897430419922
17,2,qs4,0.0022270679473876953
18,2,qs5,0.002215147018432617
19,2,merge1,0.002190113067626953
20,2,partition_sort,0.0010139942169189453
21,3,qs1,0.0018239021301269531
22,3,qs2,0.002319812774658203
23,3,qs3,0.0020990371704101562
24,3,qs4,0.0022521018981933594
25,3,qs5,0.0022630691528320312
26,3,merge1,0.0022401809692382812
27,3,partition_sort,0.0010139942169189453
28,4,qs1,0.0018279552459716797
29,4,qs2,0.002229928970336914
30,4,qs3,0.0021419525146484375
31,4,qs4,0.002301931381225586
32,4,qs5,0.002171039581298828
33,4,merge1,0.0021948814392089844
34,4,partition_sort,0.0010118484497070312
35,5,qs1,0.0019221305847167969
36,5,qs2,0.0022029876708984375
37,5,qs3,0.0021758079528808594
38,5,qs4,0.002231121063232422
39,5,qs5,0.00214385986328125
40,5,merge1,0.002192258834838867
41,5,partition_sort,0.001065969467163086
42,6,qs1,0.0017619132995605469
43,6,qs2,0.0021359920501708984
44,6,qs3,0.0021708011627197266
45,6,qs4,0.002232074737548828
46,6,qs5,0.0021848678588867188
47,6,merge1,0.002187967300415039
48,6,partition_sort,0.001013040542602539
49,7,qs1,0.0018839836120605469
50,7,qs2,0.0022029876708984375
51,7,qs3,0.0021810531616210938
52,7,qs4,0.0024318695068359375
53,7,qs5,0.0022978782653808594
54,7,merge1,0.0021839141845703125
55,7,partition_sort,0.0010080337524414062
56,8,qs1,0.00180816650390625
57,8,qs2,0.002357006072998047
58,8,qs3,0.0022101402282714844
59,8,qs4,0.00238800048828125
60,8,qs5,0.002246856689453125
61,8,merge1,0.0021550655364990234
62,8,partition_sort,0.0010290145874023438
63,9,qs1,0.0019152164459228516
64,9,qs2,0.0021669864654541016
65,9,qs3,0.002273082733154297
66,9,qs4,0.0023729801177978516
67,9,qs5,0.002221822738647461
68,9,merge1,0.002187967300415039
69,9,partition_sort,0.0010089874267578125
70,10,qs1,0.0019021034240722656
71,10,qs2,0.002279043197631836
72,10,qs3,0.002298116683959961
73,10,qs4,0.0023131370544433594
74,10,qs5,0.0022039413452148438
75,10,merge1,0.002203702926635742
76,10,partition_sort,0.001013040542602539
77,11,qs1,0.0018877983093261719
78,11,qs2,0.0022690296173095703
79,11,qs3,0.0022771358489990234
80,11,qs4,0.0023872852325439453
81,11,qs5,0.002256155014038086
82,11,merge1,0.0021979808807373047
83,11,partition_sort,0.0010466575622558594
84,12,qs1,0.0018138885498046875
85,12,qs2,0.0023109912872314453
86,12,qs3,0.002332925796508789
87,12,qs4,0.002248048782348633
88,12,qs5,0.002137899398803711
89,12,merge1,0.0022678375244140625
90,12,partition_sort,0.001027822494506836
91,13,qs1,0.0018682479858398438
92,13,qs2,0.0021920204162597656
93,13,qs3,0.0023241043090820312
94,13,qs4,0.0022242069244384766
95,13,qs5,0.0022530555725097656
96,13,merge1,0.0022149085998535156
97,13,partition_sort,0.0010077953338623047
98,14,qs1,0.0019762516021728516
99,14,qs2,0.0022199153900146484
100,14,qs3,0.00222015380859375
101,14,qs4,0.0024738311767578125
102,14,qs5,0.002227306365966797
103,14,merge1,0.0022192001342773438
104,14,partition_sort,0.001010894775390625
105,15,qs1,0.0018322467803955078
106,15,qs2,0.002250194549560547
107,15,qs3,0.002351999282836914
108,15,qs4,0.0023522377014160156
109,15,qs5,0.0022079944610595703
110,15,merge1,0.002170085906982422
111,15,partition_sort,0.0010230541229248047
112,16,qs1,0.0018000602722167969
113,16,qs2,0.002276182174682617
114,16,qs3,0.002256155014038086
115,16,qs4,0.0022058486938476562
116,16,qs5,0.002147197723388672
117,16,merge1,0.0021789073944091797
118,16,partition_sort,0.001004934310913086
119,17,qs1,0.0018968582153320312
120,17,qs2,0.002177000045776367
121,17,qs3,0.0021982192993164062
122,17,qs4,0.0022897720336914062
123,17,qs5,0.0021407604217529297
124,17,merge1,0.002187013626098633
125,17,partition_sort,0.0009982585906982422
126,18,qs1,0.0019428730010986328
127,18,qs2,0.0023238658905029297
128,18,qs3,0.0021789073944091797
129,18,qs4,0.0025229454040527344
130,18,qs5,0.0021440982818603516
131,18,merge1,0.0021979808807373047
132,18,partition_sort,0.0010218620300292969
133,19,qs1,0.0019116401672363281
134,19,qs2,0.002035856246948242
135,19,qs3,0.002170085906982422
136,19,qs4,0.0023598670959472656
137,19,qs5,0.002214193344116211
138,19,merge1,0.002195119857788086
139,19,partition_sort,0.001007080078125
140,20,qs1,0.0017960071563720703
141,20,qs2,0.002198934555053711
142,20,qs3,0.0022368431091308594
143,20,qs4,0.0022220611572265625
144,20,qs5,0.002207040786743164
145,20,merge1,0.0021970272064208984
146,20,partition_sort,0.0010039806365966797
147,21,qs1,0.0018229484558105469
148,21,qs2,0.002171039581298828
149,21,qs3,0.0022821426391601562
150,21,qs4,0.002299070358276367
